PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status,
0, 1068538691, -141.85125732421875, 28.35887908935547, -102.78121185302734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1068547024, -141.8550262451172, 28.359676361083984, -102.7844467163086, -4.8813796043396, 1.0635826587677002, 8.647080421447754, -0.47378653287887573, -2.937671184539795, 0.4770011007785797, 0.671630859375, 0.402099609375, -0.735595703125, 0, 
2, 1068555357, -141.8577880859375, 28.36065101623535, -102.78797912597656, -4.870279788970947, 1.0414766073226929, 8.6327486038208, -0.33605876564979553, -2.934417963027954, 0.5179325938224792, 0.670654296875, 0.403076171875, -0.738525390625, 0, 
3, 1068563690, -141.90086364746094, 28.32110595703125, -102.81243133544922, -4.884742736816406, 1.043191909790039, 8.673378944396973, -0.43275249004364014, -2.852452278137207, 0.5671631693840027, 0.672119140625, 0.402587890625, -0.736572265625, 0, 
4, 1068572023, -141.90338134765625, 28.321731567382812, -102.81594848632812, -4.882937908172607, 1.0467801094055176, 8.649845123291016, -0.3066023886203766, -2.903270959854126, 0.4900386929512024, 0.676513671875, 0.401611328125, -0.736572265625, 0, 
5, 1068580356, -141.93150329589844, 28.296371459960938, -102.8316421508789, -4.871939659118652, 1.057714819908142, 8.65188980102539, -0.3213818073272705, -2.9835715293884277, 0.47689858078956604, 0.674560546875, 0.401123046875, -0.735595703125, 0, 
6, 1068588689, -141.93389892578125, 28.297616958618164, -102.83446502685547, -4.888266086578369, 1.064982533454895, 8.655941009521484, -0.33285701274871826, -3.006547689437866, 0.4785636067390442, 0.674560546875, 0.402587890625, -0.736083984375, 0, 
7, 1068597022, -141.9626007080078, 28.272523880004883, -102.85032653808594, -4.869736194610596, 1.0850329399108887, 8.670890808105469, -0.3524775207042694, -3.034390449523926, 0.5162933468818665, 0.676025390625, 0.400146484375, -0.740478515625, 0, 
8, 1068605355, -141.96592712402344, 28.27431297302246, -102.85259246826172, -4.8842949867248535, 1.0555753707885742, 8.649313926696777, -0.47714197635650635, -3.096658706665039, 0.47223684191703796, 0.675048828125, 0.402587890625, -0.738037109375, 0, 
9, 1068613688, -141.9951934814453, 28.248979568481445, -102.86739349365234, -4.865668773651123, 1.0589629411697388, 8.65337085723877, -0.44940173625946045, -3.116330623626709, 0.4164234399795532, 0.674072265625, 0.401611328125, -0.737060546875, 0, 
10, 1068622021, -141.9986114501953, 28.250852584838867, -102.86979675292969, -4.878105163574219, 1.0422160625457764, 8.672183990478516, -0.482034295797348, -3.096658706665039, 0.4886299669742584, 0.675048828125, 0.402099609375, -0.739501953125, 0, 
11, 1068630354, -142.02865600585938, 28.225603103637695, -102.8856201171875, -4.886935234069824, 1.0566428899765015, 8.674517631530762, -0.45736777782440186, -3.0950448513031006, 0.5148077607154846, 0.674072265625, 0.404052734375, -0.737548828125, 0, 
12, 1068638687, -142.0319366455078, 28.226486206054688, -102.88897705078125, -4.864661693572998, 1.0509543418884277, 8.6492919921875, -0.41308075189590454, -2.9409751892089844, 0.49344542622566223, 0.669677734375, 0.402587890625, -0.735107421875, 0, 
13, 1068647020, -142.0626220703125, 28.200284957885742, -102.90528869628906, -4.884677886962891, 1.080054759979248, 8.66071891784668, -0.47378647327423096, -3.0114142894744873, 0.491959810256958, 0.670166015625, 0.403076171875, -0.738525390625, 0, 
14, 1068655353, -142.06661987304688, 28.201568603515625, -102.90851593017578, -4.862393379211426, 1.059614658355713, 8.681118965148926, -0.5064959526062012, -2.9868249893188477, 0.5133733749389648, 0.672607421875, 0.402587890625, -0.738525390625, 0, 
15, 1068663686, -142.09803771972656, 28.174009323120117, -102.9256820678711, -4.8751220703125, 1.0575276613235474, 8.652341842651367, -0.48854032158851624, -2.860597848892212, 0.4674470126628876, 0.674560546875, 0.400634765625, -0.737548828125, 0, 
16, 1068672019, -142.1013946533203, 28.174360275268555, -102.92790222167969, -4.882523536682129, 1.055396556854248, 8.652661323547363, -0.48731085658073425, -2.9638490676879883, 0.3608405590057373, 0.673583984375, 0.403564453125, -0.736083984375, 0, 
17, 1068680352, -142.13209533691406, 28.14650535583496, -102.9449234008789, -4.878697395324707, 1.0405066013336182, 8.651191711425781, -0.38211315870285034, -2.878681182861328, 0.4391944408416748, 0.673583984375, 0.403076171875, -0.740478515625, 0, 
18, 1068688685, -142.13522338867188, 28.147253036499023, -102.94796752929688, -4.8659138679504395, 1.0512882471084595, 8.653199195861816, -0.4148481786251068, -2.949171781539917, 0.4589686989784241, 0.671630859375, 0.400146484375, -0.736083984375, 0, 
19, 1068697018, -142.1676025390625, 28.11910057067871, -102.96630859375, -4.8759684562683105, 1.0767850875854492, 8.663991928100586, -0.4783714711666107, -2.795076608657837, 0.5347099900245667, 0.677001953125, 0.40283203125, -0.738037109375, 0, 
20, 1068705351, -142.1727752685547, 28.11905860900879, -102.96996307373047, -4.867607116699219, 1.072677493095398, 8.659368515014648, -0.6262936592102051, -2.834266424179077, 0.4516942501068115, 0.671142578125, 0.403564453125, -0.736083984375, 0, 
21, 1068713684, -142.2049560546875, 28.091312408447266, -102.9865493774414, -4.876938819885254, 1.0704985857009888, 8.652379989624023, -0.5248867869377136, -2.983494520187378, 0.42164865136146545, 0.675048828125, 0.402587890625, -0.736572265625, 0, 
22, 1068722017, -142.2093048095703, 28.093130111694336, -102.98881530761719, -4.880557060241699, 1.057310938835144, 8.656400680541992, -0.6066988110542297, -3.1015000343322754, 0.4711354672908783, 0.676025390625, 0.402099609375, -0.737060546875, 0, 
23, 1068730350, -142.2421112060547, 28.066566467285156, -103.00581359863281, -4.878590106964111, 1.0661287307739258, 8.63858413696289, -0.5505779981613159, -3.0999884605407715, 0.5478757619857788, 0.677490234375, 0.40283203125, -0.738037109375, 0, 
24, 1068738683, -142.24591064453125, 28.067848205566406, -103.00768280029297, -4.861874103546143, 1.05842125415802, 8.631587982177734, -0.5644609332084656, -3.0769097805023193, 0.3971615135669708, 0.674072265625, 0.403564453125, -0.735595703125, 0, 
25, 1068747016, -142.27871704101562, 28.0400333404541, -103.02415466308594, -4.87032413482666, 1.05246901512146, 8.672436714172363, -0.5511670708656311, -3.0441489219665527, 0.42175111174583435, 0.674072265625, 0.404052734375, -0.735595703125, 0, 
26, 1068755349, -142.2816162109375, 28.04036521911621, -103.02580261230469, -4.875851631164551, 1.0631370544433594, 8.64370346069336, -0.4714300036430359, -3.0015017986297607, 0.3082033097743988, 0.674072265625, 0.404052734375, -0.739013671875, 0, 
27, 1068763682, -142.3135986328125, 28.012121200561523, -103.041748046875, -4.8718743324279785, 1.0536102056503296, 8.664170265197754, -0.45488324761390686, -3.070404291152954, 0.3457793593406677, 0.675537109375, 0.402099609375, -0.736083984375, 0, 
28, 1068772015, -142.31719970703125, 28.013633728027344, -103.0440902709961, -4.853532314300537, 1.0661102533340454, 8.647943496704102, -0.5132836699485779, -3.0704550743103027, 0.45266759395599365, 0.676025390625, 0.403564453125, -0.739501953125, 0, 
29, 1068780348, -142.3497314453125, 27.98512077331543, -103.06039428710938, -4.871631145477295, 1.042020559310913, 8.646774291992188, -0.4744780957698822, -3.0458145141601562, 0.3623005449771881, 0.674560546875, 0.402587890625, -0.739990234375, 0, 
30, 1068788681, -142.35272216796875, 27.985727310180664, -103.06322479248047, -4.8673882484436035, 1.0490278005599976, 8.669188499450684, -0.41495057940483093, -2.9525272846221924, 0.4275912046432495, 0.677001953125, 0.40380859375, -0.735595703125, 0, 
31, 1068797014, -142.38523864746094, 27.957286834716797, -103.08103942871094, -4.8708062171936035, 1.0305532217025757, 8.68420124053955, -0.362082839012146, -2.9854161739349365, 0.4960325062274933, 0.674072265625, 0.403564453125, -0.738525390625, 0, 
32, 1068805347, -142.38818359375, 27.95789337158203, -103.0838851928711, -4.871243000030518, 1.0451430082321167, 8.638875961303711, -0.40839335322380066, -2.9525270462036133, 0.42751437425613403, 0.675537109375, 0.402587890625, -0.737548828125, 0, 
33, 1068813680, -142.4199981689453, 27.929075241088867, -103.10069274902344, -4.859892845153809, 1.0504251718521118, 8.66104507446289, -0.3120582401752472, -3.039461851119995, 0.3890674412250519, 0.673583984375, 0.404052734375, -0.737060546875, 0, 
34, 1068822013, -142.42274475097656, 27.93088150024414, -103.10274505615234, -4.8745832443237305, 1.0613150596618652, 8.648850440979004, -0.42975565791130066, -3.1181232929229736, 0.4488510191440582, 0.675537109375, 0.402099609375, -0.737060546875, 0, 
35, 1068830346, -142.4555206298828, 27.903549194335938, -103.1196517944336, -4.888857364654541, 1.0391871929168701, 8.660465240478516, -0.3933066129684448, -3.203470230102539, 0.5074820518493652, 0.676025390625, 0.403564453125, -0.738037109375, 0, 
36, 1068838679, -142.45846557617188, 27.90639305114746, -103.12191772460938, -4.877295970916748, 1.038993239402771, 8.67183780670166, -0.4455084204673767, -3.2050838470458984, 0.5407037138938904, 0.677490234375, 0.40234375, -0.736083984375, 0, 
37, 1068847012, -142.4922332763672, 27.87979507446289, -103.1395492553711, -4.877139091491699, 1.0535634756088257, 8.655939102172852, -0.44330552220344543, -3.251086711883545, 0.6258710026741028, 0.673583984375, 0.403076171875, -0.740966796875, 0, 
38, 1068855345, -142.4945831298828, 27.88309669494629, -103.14117431640625, -4.8596601486206055, 1.0716363191604614, 8.6837739944458, -0.40975090861320496, -3.2887394428253174, 0.522261381149292, 0.675048828125, 0.403564453125, -0.738037109375, 0, 
39, 1068863678, -142.52752685546875, 27.855459213256836, -103.15768432617188, -4.883452415466309, 1.0349998474121094, 8.657262802124023, -0.3823949098587036, -3.2509846687316895, 0.4565097391605377, 0.673583984375, 0.401611328125, -0.735595703125, 0, 
40, 1068872011, -142.53004455566406, 27.85860824584961, -103.15961456298828, -4.851548671722412, 1.0732176303863525, 8.670221328735352, -0.4144895374774933, -3.255953311920166, 0.5354527235031128, 0.672119140625, 0.402587890625, -0.738037109375, 0, 
41, 1068880344, -142.5650177001953, 27.830059051513672, -103.17805480957031, -4.854692459106445, 1.016263484954834, 8.674463272094727, -0.4960452616214752, -3.064077377319336, 0.551205575466156, 0.671630859375, 0.401123046875, -0.738037109375, 0, 
42, 1068888677, -142.56822204589844, 27.831335067749023, -103.181640625, -4.871103286743164, 1.0528141260147095, 8.65523910522461, -0.4042438566684723, -2.9707388877868652, 0.5389875769615173, 0.671142578125, 0.402587890625, -0.736083984375, 0, 
43, 1068897010, -142.60179138183594, 27.802001953125, -103.20001220703125, -4.854398727416992, 1.0526872873306274, 8.660806655883789, -0.3096504807472229, -3.011798620223999, 0.4921647012233734, 0.673583984375, 0.403564453125, -0.737548828125, 0, 
44, 1068905343, -142.60400390625, 27.80377769470215, -103.2032241821289, -4.87612771987915, 1.0600707530975342, 8.66532039642334, -0.3075757324695587, -3.0413572788238525, 0.5412928462028503, 0.673095703125, 0.402099609375, -0.735107421875, 0, 
45, 1068913676, -142.63816833496094, 27.775529861450195, -103.22164154052734, -4.870508193969727, 1.0417267084121704, 8.667396545410156, -0.3533227741718292, -3.131545305252075, 0.5760514140129089, 0.674072265625, 0.401611328125, -0.738037109375, 0, 
46, 1068922009, -142.64027404785156, 27.778356552124023, -103.22445678710938, -4.887939929962158, 1.0233930349349976, 8.699337005615234, -0.31882035732269287, -3.169326066970825, 0.5854772925376892, 0.671630859375, 0.402587890625, -0.737060546875, 0, 
47, 1068930342, -142.67453002929688, 27.750289916992188, -103.24191284179688, -4.875970363616943, 1.0509445667266846, 8.637442588806152, -0.3984038233757019, -3.2313895225524902, 0.5074820518493652, 0.675537109375, 0.401123046875, -0.739501953125, 0, 
48, 1068938675, -142.67613220214844, 27.754167556762695, -103.24354553222656, -4.871691703796387, 1.0307042598724365, 8.652494430541992, -0.32588991522789, -3.346346139907837, 0.5606572031974792, 0.670166015625, 0.403076171875, -0.737548828125, 0, 
49, 1068947008, -142.71002197265625, 27.72745132446289, -103.26093292236328, -4.87847900390625, 1.0563815832138062, 8.647886276245117, -0.33867141604423523, -3.3824620246887207, 0.6001030802726746, 0.669677734375, 0.401123046875, -0.736572265625, 0, 
50, 1068955341, -142.71165466308594, 27.732208251953125, -103.26209259033203, -4.859097957611084, 1.0415974855422974, 8.671915054321289, -0.3520677089691162, -3.461149215698242, 0.5853750109672546, 0.675537109375, 0.404052734375, -0.738525390625, 0, 
